"sp_map","Subspecies","Migratory (Y, N, S)","Social Behavior (G or S)","Clutch Size","female Min Wing Size (mm)","female Max Wing Size (mm)","female Min Tail Size (mm)","female Max Tail Size (mm)","female Min Tarsus Size (mm)","female Max Tarsus Size (mm)","female Min Weight (kg)","female Max Weight (kg)","male Min Wing Size (mm)","male Max Wing Size (mm)","male Min Tail Size (mm)","male Max Tail Size (mm)","male Min Tarsus (mm)","male Max Tarsus (mm)","male Min Weight (kg)","male Max Weight (kg)"
"Coragyps_atratus",NA,"S","G","2","386","445","172","212","70","83","1.18","1.94","386","445","172","212","70","83","1.18","1.94"
"Cathartes_aura",NA,"Y and N","G","2","458","559","270","298",NA,NA,"0.9","2","485","550","252","285",NA,NA,"0.9","2"
"Cathartes_burrovianus",NA,"N","S","2","444","509","193","255","51","69","0.96","1.55","432","502","193","255","51","69","0.95","1.42"
"Cathartes_melambrotus",NA,"N","S","2","510","512","272","285","59","75","see notes",NA,"488","533","252","275","59","75","see notes",NA
"Gymnogyps_californianus",NA,"N","G","1","760","915","380","450","110","140","8.1999999999999993","14.1","760","915","380","450","110","140","8.1999999999999993","14.1"
"Vultur_gryphus",NA,"N","S","1","757","801","330","370","115","120","7.5 (see notes)","11 (see notes)","800","852","354","380","115","120","11 (see notes)","15 (see notes)"
"Sarcoramphus_papa",NA,"N","S","1","480","508","207","257","90","93","3","3.75","482","525","207","257","90","93","3","3.75"
"Pandion_haliaetus",NA,"Y","S","2.5","410","518","179","240","52","66","1","2.0499999999999998","384","506","166","210","52","66","0.99","1.74"
"Aviceda_cuculoides",NA,"N","S","2","273","328","180","208","30","35","0.22","0.29599999999999999","273","328","180","208","30","35","0.22","0.29599999999999999"
"Aviceda_madagascariensis",NA,"N","S",NA,"315","331","197","230","35","42",NA,NA,"315","331","197","230","35","42",NA,NA
"Aviceda_jerdoni",NA,"N","S","2.5","280","360","190","324","35","40",NA,NA,"280","360","190","324","35","40",NA,NA
"Aviceda_subcristata",NA,"N","S","2.5","270","362","180","230","31","42","0.26","0.44800000000000001","221","349","180","230","31","42","0.255","0.35699999999999998"
"Aviceda_leuphotes",NA,"S","G","2.5","221","246","127","149","25","30","0.16800000000000001","0.224","221","246","127","149","25","30","0.16800000000000001","0.224"
"Leptodon_cayanensis",NA,"N","S","2.5","303","365","218","263","46","54","0.41599999999999998","0.60499999999999998","290","355","199","250","43","51","0.41499999999999998","0.45500000000000002"
"Leptodon_forbesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chondrohierax_uncinatus",NA,"N","S","1.5","250","321","191","228","31","37","0.215","0.36","240","304","173","210","31","37","0.215","0.35299999999999998"
"Henicopernis_longicauda",NA,"N","S",NA,"331","439","290","365","50","58","0.56999999999999995","0.73","331","439","290","365","50","58","0.44700000000000001","0.63"
"Henicopernis_infuscatus",NA,"N","S",NA,"340","358","250","265","53","57",NA,NA,"340","358","250","265","53","57",NA,NA
"Pernis_apivorus",NA,"Y","S","2","372","447","240","273","47","57","0.45","10.5","370","441","210","276","47","57","0.44","0.94299999999999995"
"Pernis_ptilorhynchus",NA,"Y","S","2","388","495","241","306","44","60","0.95","1.49","363","475","240","289","44","60","0.75","1.28"
"Pernis_celebensis",NA,"N","S","2","365","392","245","283","45","55",NA,NA,"348","374","245","283","45","55",NA,NA
"Elanoides_forficatus",NA,"Y","G","1.5","405","447","298","370","32","34","0.32500000000000001","0.51","390","436","275","343","32","34","0.32500000000000001","0.51"
"Macheiramphus_alcinus",NA,"N","S","1","336","412","162","186","58","62","0.6","0.65","324","412","162","186","58","62","0.6","0.65"
"Gampsonyx_swainsonii",NA,"N","S","2.5","150","178","92","115","28","32",NA,NA,"141","177","82","108","28","32",NA,NA
"Elanus_leucurus",NA,"N","S","4","290","328","151","186","33","39","0.33200000000000002","0.375","290","328","151","186","33","39","0.25","0.32200000000000001"
"Elanus_caeruleus",NA,"Y, N","S","3.5","258","306","108","152","30","40","0.219","0.34300000000000003","249","306","108","152","30","40","0.19700000000000001","0.27700000000000002"
"Elanus_axillaris",NA,"N","S","3.5","280","318","138","155","32","39","0.27","0.34","274","309","133","153","32","39","0.18099999999999999","0.3"
"Elanus_scriptus",NA,"N","G","4.5","301","319","130","165","33","40","0.28999999999999998","0.42199999999999999","292","313","138","156","33","40","0.217","0.33300000000000002"
"Chelictinia_riocourii",NA,"Y","G","4","227","254","170","216","28","33",NA,"see notes","225","246","170","216","28","33",NA,"see notes"
"Rostrhamus_sociabilis",NA,"N","G","2.5","328","380","167","200","36","57","0.38400000000000001","0.314","325","382","158","210","36","57","0.30399999999999999","0.38500000000000001"
"Helicolestes_hamatus",NA,"N (see notes)","S","2","272","288","117","142","41","46","0.36699999999999999","0.48499999999999999","265","284","113","137","41","46","0.377","0.48499999999999999"
"Harpagus_bidentatus",NA,"N","S","1.5","204","234","141","170","37","45","0.19","0.22900000000000001","192","225","141","170","37","45","0.161","0.19800000000000001"
"Harpagus_diodon",NA,"N","S","2 (see notes)","210","222","135","164","37","40",NA,NA,"197","212","135","164","37","40",NA,NA
"Ictinia_plumbea",NA,"Y, N","G","1.5","274","321","123","167","34","43","0.23200000000000001","0.28000000000000003","270","313","123","167","34","43","0.19","0.26700000000000002"
"Ictinia_mississippiensis",NA,"Y","G","2","300","315","149","172","35","41","0.27800000000000002","0.33900000000000002","286","305","149","172","35","41","0.216","0.26900000000000002"
"Lophoictinia_isura",NA,"N","S","2.5","460","499","241","280","46","60","0.66","0.68","445","478","233","260","46","60",NA,NA
"Hamirostra_melanosternon",NA,"N","S","1.5","440","490","183","223","63","69","1.45 (see notes)","1.45","437","463","201","208","63","69","1.15 (see notes)","1.24"
"Milvus_milvus",NA,"Y, N","S","2","478","535","314","376","51","55","0.96","1.6","448","532","301","351","51","55","0.75700000000000001","1.22"
"Milvus_migrans",NA,"Y, S","G","2.5","400","529","240","345","41","67","0.56000000000000005","1.08","383","505","229","345","41","67","0.5","1.08"
"Haliastur_sphenurus",NA,"S","S","2.5","396","466","243","292","52","66","0.76 (see notes)","1 (see notes)","370","430","225","277","52","66","0.6","0.75"
"Haliastur_indus",NA,"N","S","2","353","425","155","218","49","62","0.434","0.7","343","398","155","218","49","62","0.40899999999999997","0.7"
"Haliaeetus_leucogaster",NA,"N","S","2","581","633","263","298","85","117","2.5","3.9","526","589","208","278","85","117","1.8","2.9"
"Haliaeetus_sanfordi",NA,"N","S",NA,"535","575","245","295","91","103","1.3","2.7","519","547","245","295","91","103","1.1 (see notes)","1.1 (see notes)"
"Haliaeetus_vocifer",NA,"N","S","2","528","571","208","238","88","99","3.2","3.6","487","543","190","222","80","94","2","2.5"
"Haliaeetus_vociferoides",NA,"N","S","2","514","529","229","273","92","100",NA,NA,"484","494","229","272","92","100",NA,NA
"Haliaeetus_leucoryphus",NA,"Y, N","S","2.5","558","624","251","298","93","108","2.1","3.7","545","585","251","298","93","108","2","3.3"
"Haliaeetus_leucocephalus",NA,"Y, N","S","2.5","548","685","247","365",NA,NA,"2.5 (see notes)","6.3 (see notes)","515","612","290","322",NA,NA,"2.5 (see notes)","6.3 (see notes)"
"Haliaeetus_albicilla",NA,"Y, N","S","2","621","717","254","331","92","101","3.7","6.9","552","652","254","331","92","101","3.1","5.4"
"Haliaeetus_pelagicus",NA,"Y, N","S","2","610","620","320","345","95","100","6.8","9","570","590","320","345","95","100","4.9000000000000004","6"
"Icthyophaga_humilis",NA,"N","S","2.5","394","495","174","248","66","91","0.78","0.78500000000000003","394","495","174","248","66","91","0.78","0.78500000000000003"
"Icthyophaga_ichthyaetus",NA,"N","S","2","445","518","232","280","85","100","2.2999999999999998","2.7","420","455","232","280","85","100","1.6","1.6"
"Gypohierax_angolensis",NA,"N","S","1","387","466","162","252","75","85","1.2","1.8","387","466","162","252","75","85","1.2","1.8"
"Gypaetus_barbatus",NA,"N","S","2","715","910","437","510","89","98","5.2","6.7","725","885","427","520","88","100","4.5","7"
"Neophron_percnopterus",NA,"Y, N","S","2","455","545","228","267","75","87","1.6","2.4","393","536","220","251","75","87","1.6",NA
"Necrosyrtes_monachus",NA,"N","G, S",NA,"473","540","212","230","78","86","1.5","2.6","468","530","214","224","79","82","1.5","2.6"
"Gyps_bengalensis",NA,"N","G","1","535","608","217","238","94","124","3.5","5.7","535","608","217","238","94","124","3.5","5.7"
