"sp_map","Beak.Length_Culmen","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length","Mass","Habitat.Density","Migration","Primary.Lifestyle","Range.Size","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial"
"Accipiter_albogularis",27.7,10.6,14.7,62,235.2,81.8,169,248.8,1,2,"Insessorial",37461.21,0,80,20,0,0,0,0,0,0,100,0,0,0,0
"Accipiter_badius",20.6,8.8,11.6,43,186.7,62.5,140.6,131.2,2,3,"Insessorial",22374973,10,30,60,0,0,0,0,0,0,50,0,50,0,0
"Accipiter_bicolor",25,8.6,12.7,58.1,229.6,56.6,186.3,287.5,2,2,"Generalist",14309701.27,0,100,0,0,0,0,0,0,0,0,33,33,33,0
"Accipiter_brachyurus",22.5,8.9,11.9,61.2,202.2,64.1,140.8,142,1,2,"Insessorial",35580.71,0,100,0,0,0,0,0,0,0,0,33,33,33,0
"Accipiter_brevipes",21.1,8.7,11.1,46.4,217.6,87.8,153.5,186.5,1,3,"Generalist",2936751.8,40,20,40,0,0,0,0,0,0,0,0,33,33,33
"Accipiter_butleri",20,6.6,12,48.7,166,42.9,127,122,1,1,"Insessorial",327.84,10,0,90,0,0,0,0,0,0,100,0,0,0,0
"Accipiter_castanilius",20.5,8.3,10.9,52.6,163.5,38.9,135.4,157.5,1,2,"Insessorial",2096401.63,10,80,10,0,0,0,0,0,0,50,0,50,0,0
"Accipiter_cirrocephalus",19.2,7.7,9.6,60.3,213,81.3,155.4,165.7,1,2,"Generalist",5488639.45,10,80,10,0,0,0,0,0,0,0,10,80,10,0
"Accipiter_collaris",20,8.6,11,43.6,165.9,49.5,125,97.8,1,2,"Insessorial",253265.36,0,80,0,0,20,0,0,0,0,0,0,33,33,33
"Accipiter_cooperii",25.4,8.6,13.2,62,241.2,77.8,188.4,429.7,2,3,"Aerial",8393137.06,0,90,10,0,0,0,0,0,0,40,20,20,10,10
"Accipiter_erythrauchen",21.1,8.6,11.2,59.5,191.2,58.9,154.8,156,1,1,"Generalist",48150.32,0,100,0,0,0,0,0,0,0,0,33,33,33,0
"Accipiter_erythropus",17.6,7.2,9.6,43,154.6,40.9,104.4,111.2,1,1,"Insessorial",3904812.09,40,60,0,0,0,0,0,0,0,50,50,0,0,0
"Accipiter_fasciatus",28.5,11.2,15.2,71.9,269.9,103.6,206,358.7,1,1,"Generalist",8180196.71,20,40,30,0,0,10,0,0,0,50,0,30,20,0
